,acceptance,energy
166,0.000956403771943279,8.525
167,0.0008734863761425984,8.575
168,0.0008391301257339725,8.625
169,0.00077913195972525,8.675
170,0.0007419547914293971,8.725000000000001
171,0.0006987641602867433,8.775
172,0.000645241937016936,8.825
173,0.0006141532254895059,8.875
174,0.0005990508379978038,8.925
175,0.0005437887218547139,8.975000000000001
176,0.0005486461498212154,9.025
177,0.00046880501785793213,9.075
178,0.00046539355177831513,9.125
179,0.0004200717940726565,9.175
180,0.0004084424984796697,9.225000000000001
181,0.00038674760581631546,9.275
182,0.0003924823961348648,9.325
183,0.00036851530952891046,9.375
184,0.000309770845525704,9.425
185,0.00031827359329128296,9.475000000000001
186,0.00029976345787450115,9.525
187,0.00028841865150162064,9.575000000000001
188,0.00025485102402551617,9.625
189,0.0002477207962066856,9.675
